,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID
507,Ty-N_peak_181,chr2L,18454706,18454706,+,58.59919,,promoter-TSS (NM_136034),promoter-TSS (NM_136034),57,NM_136034,35101,Dm.26834,NM_136034,,Ntf-2r,CG10174|Dmel\CG10174|Dntf-2|Dntf-2R|Dntf-2r,Nuclear transport factor-2-related,protein-coding,CG10174,FBgn0032680
508,Ty-N_peak_1192,chrX,16733961,16733961,+,58.40646,,promoter-TSS (NM_167540),promoter-TSS (NM_167540),-986,NM_167540,318093,Dm.17366,NM_167540,,TwdlY,CG32570|Dmel\CG32570,TweedleY,protein-coding,CG32570,FBgn0052570
510,Ty-N_peak_47,chr2L,5943793,5943793,+,58.0971,,promoter-TSS (NM_001169422),promoter-TSS (NM_001169422),150,NM_001273184,33824,Dm.4843,NM_057217,,Gpdh,CG9042|DROGPDHA|DmG3PDH|Dmel\CG9042|G3PDH|G3pdh|GAPDH|GPD|GPDA|GPDH|GPDH-1|Gdh|Gpd|alpha-GPD|alpha-GPDH|alpha-GPDH-1|alpha-Gpdh|alphaGPDH|alphaGpd|alphaGpdh|alphaGpdh-1|dGpdh|gpdh|gpdh-1|sn-Gpdh,Glycerol 3 phosphate dehydrogenase,protein-coding,CG9042,FBgn0001128
511,Ty-N_peak_352,chr2R,17726772,17726772,+,58.08639,,promoter-TSS (NM_001169712),promoter-TSS (NM_001169712),75,NM_137408,37015,Dm.13953,NM_137408,,Snx16,CG6410|DmSNX16|Dmel\CG6410,Sorting nexin 16,protein-coding,CG6410,FBgn0034265
513,Ty-N_peak_548,chr3L,10364996,10364996,+,57.70542,,promoter-TSS (NR_048253),promoter-TSS (NR_048253),-232,NR_048253,12798171,,NR_048253,,mir-276a,276a|CR33584|CR33585|CR43001|Dmel\CR43001|Dmel_CR33584|Dmel_CR33585|MiR-276a|dme-miR-276a|dme-miR-276a-3p|dme-mir-276|dme-mir-276a|miR-276|miR-276a|miR-276aS|mir-276aS|rosa,mir-276a stem loop,ncRNA,CR33584,FBgn0266076
514,Ty-N_peak_543,chr3L,9972705,9972705,+,57.70542,,promoter-TSS (NM_001169933),promoter-TSS (NM_001169933),-51,NM_001169933,8673988,Dm.3660,NM_001169933,,CG42455,Dmel\CG42455|Dromel_CG11989_FBtr0076348_ard1_uORF,uncharacterized protein,protein-coding,CG42455,FBgn0259932
516,Ty-N_peak_859,chr3R,21350459,21350459,+,57.3611,,promoter-TSS (NM_142710),promoter-TSS (NM_142710),-858,NM_001300514,42531,Dm.33570,NM_142710,,CG16791,Dmel\CG16791|R5_3R:17143989..17145881|anon-WO0172774.78,uncharacterized protein,protein-coding,CG16791,FBgn0038881
523,Ty-N_peak_1061,chrX,1879828,1879828,+,55.92953,,promoter-TSS (NM_001272218),promoter-TSS (NM_001272218),-54,NM_001272217,31147,Dm.20,NM_130599,,CG14818,BcDNA:RE09176|BcDNA:RH52516|CT34631|Dmel\CG14818|EG:63B12.12,uncharacterized protein,protein-coding,CG14818,FBgn0026088
528,Ty-N_peak_476,chr3L,3765835,3765835,+,55.92953,,promoter-TSS (NM_001259678),promoter-TSS (NM_001259678),-104,NM_001259678,38438,Dm.6508,NM_168037,,CG32264,CG10857|CG10860|CG12604|CG14978|Dmel\CG32264,uncharacterized protein,protein-coding,CG32264,FBgn0052264
529,Ty-N_peak_273,chr2R,9165312,9165312,+,55.92953,,promoter-TSS (NM_165657),promoter-TSS (NM_165657),-320,NM_136622,35937,,NM_136622,,Rad51D,CG2412|Dm CG2412|Dmel\CG2412|Rad51C|dmRad51C,Rad51 recombinase D,protein-coding,CG2412,FBgn0033389
532,Ty-N_peak_525,chr3L,8449423,8449423,+,55.59909,,promoter-TSS (NM_206303),promoter-TSS (NM_206303),-46,NM_001300055,38964,Dm.11134,NM_139970,,CG6983,Dmel\CG6983,CG6983,protein-coding,CG6983,FBgn0035896
533,Ty-N_peak_207,chr2L,20428443,20428443,+,55.59652,,promoter-TSS (NM_001144371),promoter-TSS (NM_001144371),-582,NM_136191,35314,,NM_136191,,CG31688,38C.49|38C.52|CG11016|CG11017|CG11019|CG18597|CG31688-PA|Dmel\CG31688|Dmel_CG11019,uncharacterized protein,protein-coding,CG31688,FBgn0263355
538,Ty-N_peak_212,chr2L,20823953,20823953,+,55.04727,,promoter-TSS (NM_206015),promoter-TSS (NM_206015),311,NM_001299178,35347,Dm.7737,NM_136218,,CG9331,Dmel\CG9331,CG9331,protein-coding,CG9331,FBgn0032889
540,Ty-N_peak_678,chr3L,20949685,20949685,+,55.04727,,promoter-TSS (NM_079467),promoter-TSS (NM_079467),-173,NM_079467,40314,Dm.4336,NM_079467,,fng,CG10580|D-Fng|D-fng|Dfng|Dmel\CG10580|Fng|Frg|fg|frg|l(3)rG554,fringe,protein-coding,CG10580,FBgn0011591
542,Ty-N_peak_563,chr3L,12399439,12399439,+,54.90142,,promoter-TSS (NM_140316),promoter-TSS (NM_140316),-117,NM_140316,39413,Dm.3326,NM_140316,,CG32104,CG14123|CG14124|Dmel\CG32104|anon-69Ag,uncharacterized protein,protein-coding,CG32104,FBgn0052104
543,Ty-N_peak_1134,chrX,9283806,9283806,+,54.7724,,promoter-TSS (NM_001103449),promoter-TSS (NM_001103449),-689,NM_001298121,53436,Dm.2077,NM_144349,,c11.1,C11.1|CG12132|Dmel\CG12132,c11.1,protein-coding,CG12132,FBgn0040236
548,Ty-N_peak_1126,chrX,8461353,8461353,+,54.30967,,promoter-TSS (NM_001201633),promoter-TSS (NM_001201633),-126,NM_132252,31780,Dm.31045,NM_132252,,Es2,CG1474|Dmel\CG1474|ES2|es,Es2,protein-coding,CG1474,FBgn0023506
550,Ty-N_peak_144,chr2L,15748285,15748285,+,54.16867,,promoter-TSS (NM_165125),promoter-TSS (NM_165125),-135,NM_165125,34924,Dm.3509,NM_057611,,CycE,3938|BG:DS07108.3|CDI7|CG3938|CYCE|Cdi7|Cyc|Cyc E|CycEI|CyclE|CyeE|D-CycE|DmCycE|DmcycE|DmcyclinE|Dmel\CG3938|br37|cdi7|cycE|cyclinE|cycline|dCycE|dm-cycE|fond|l(2)05206|l(2)35Dd|l(2)br37|l(2)k02514|l(2)k02602|l(2)k05007|l35Dd,Cyclin E,protein-coding,CG3938,FBgn0010382
552,Ty-N_peak_882,chr3R,24230806,24230806,+,54.16867,,promoter-TSS (NM_142977),promoter-TSS (NM_142977),244,NM_176556,50070,Dm.7426,NM_176556,,mask,CG18671|CG31138|CG33106|CG6268|CG6313|Dmel\CG33106|EC3-6|MASK|Mask|cg6313,multiple ankyrin repeats single KH domain,protein-coding,CG18671,FBgn0043884
554,Ty-N_peak_467,chr3L,3052250,3052250,+,53.96682,,promoter-TSS (NM_206259),promoter-TSS (NM_206259),-264,NM_206259,38364,Dm.3757,NM_139506,,CG1271,Dmel\CG1271,CG1271,protein-coding,CG1271,FBgn0035392
556,Ty-N_peak_124,chr2L,13459047,13459047,+,53.3686,,promoter-TSS (NM_135813),promoter-TSS (NM_135813),-442,NR_124236,19836022,,NR_124236,,CR45684,Dmel\CR45684,ncRNA,ncRNA,CR45684,FBgn0267244
558,Ty-N_peak_381,chr2R,21143254,21143254,+,53.29462,,promoter-TSS (NM_166427),promoter-TSS (NM_166427),-291,NM_166427,44226,Dm.1850,NM_079983,,Xbp1,138/3|CG 9415|CG9415|DM18|Dmel\CG9415|Dxbp-1|XBP-1|XBP1|Xbp-1|XbpI|anon-EST:Liang-1.41|clone 1.41|dXbp-1|l(2)k13803|xbp-1|xbp1,X box binding protein-1,protein-coding,CG9415,FBgn0021872
559,Ty-N_peak_86,chr2L,9938822,9938822,+,53.29462,,promoter-TSS (NM_001169458),promoter-TSS (NM_001169458),-32,NM_164880,318908,Dm.24355,NM_164880,,Apf,CG31713|Dmel\CG31713|IP04585,diadenosine tetraphosphate hydrolase,protein-coding,CG31713,FBgn0287788
563,Ty-N_peak_22,chr2L,2830707,2830707,+,53.29462,,promoter-TSS (NM_001273039),promoter-TSS (NM_001273039),-459,NM_134871,33477,Dm.11399,NM_134871,,Duox,CG3131|Cy|DUOX|Dmel\CG3131|dDuox|dduox|duox|l(2)23Bb,Dual oxidase,protein-coding,CG3131,FBgn0283531
564,Ty-N_peak_287,chr2R,10836213,10836213,+,53.29462,,promoter-TSS (NM_001299370),promoter-TSS (NM_001299370),-504,NM_001299369,36145,Dm.19411,NM_136775,,CG12344,CT23391|Dmel\CG12344|Lcch-47C,uncharacterized protein,protein-coding,CG12344,FBgn0033558
567,Ty-N_peak_280,chr2R,10099673,10099673,+,52.66365,,promoter-TSS (NM_206070),promoter-TSS (NM_206070),-4,NM_165740,36059,Dm.4705,NM_057537,,14-3-3zeta,14-3-3|14-3-3 zeta|14-3-3-Leo|14-3-3-zeta|14-3-3ZETA|14-3-3leo|2G1|4-3-3 zeta|5.11|549|BEST:GH05075|CG17870|D14-3-3|D14-3-3zeta|Dmel\CG17870|K|LEO|Leo|PAR-5|PAR5|Par-5|d14-3-3zeta|l(2)07103|l(2)46CFe|l(2)46Ee|leo|par-5,14-3-3zeta,protein-coding,CG17870,FBgn0004907
568,Ty-N_peak_1212,chrX,19208518,19208518,+,52.42421,,promoter-TSS (NM_133134),promoter-TSS (NM_133134),-331,NM_133134,32910,Dm.216,NM_133134,,Ulp1,BcDNA:GH02751|CG12359|DmUlp1|Dmel\CG12359|ulp1,Ulp1,protein-coding,CG12359,FBgn0027603
569,Ty-N_peak_259,chr2R,7459208,7459208,+,52.42421,,promoter-TSS (NM_058057),promoter-TSS (NM_058057),-334,NM_058057,35671,Dm.3378,NM_058057,,Inos,CG11143|Dmel\CG11143|INOS|bs36h12.y1,inos,protein-coding,CG11143,FBgn0025885
571,Ty-N_peak_101,chr2L,11004103,11004103,+,52.42421,,promoter-TSS (NM_164955),promoter-TSS (NM_164955),50,NM_001298897,34526,Dm.403,NM_057813,,RpL9,CG6141|Dmel\CG6141|L9|M(2)32D|Rp L9|Rpl9|anon-EST:fe3A6|anon-WO0153538.25|anon-WO0153538.26|anon-WO0153538.27|rpL9,Ribosomal protein L9,protein-coding,CG6141,FBgn0015756
574,Ty-N_peak_193,chr2L,19547633,19547633,+,51.96096,,promoter-TSS (NM_001273662),promoter-TSS (NM_001273662),-674,NM_136142,35247,Dm.30853,NM_136142,,CG10337,Dmel\CG10337,uncharacterized protein,protein-coding,CG10337,FBgn0032805
575,Ty-N_peak_279,chr2R,10096578,10096578,+,51.95918,,promoter-TSS (NM_001273915),promoter-TSS (NM_001273915),98,NM_165739,36057,Dm.3574,NM_057238,,Jra,AP-1|AP1|CG2275|D-Jun|D-jun|D-jun/Jra|DJUN|DJun|DM14|Djun|Dmel\CG2275|JRA|JUN|Jun|V|c-Jun|cJun|d-JRA|d-Jun|d-jun|dAP-1|dJRA|dJUN|dJra|dJun|djun|dm-Jun|jra|jun|l(2)46Ef|l(2)IA109|l(2R)IA109,Jun-related antigen,protein-coding,CG2275,FBgn0001291
576,Ty-N_peak_1176,chrX,13822529,13822529,+,51.9477,,promoter-TSS (NM_001272608),promoter-TSS (NM_001272608),-222,NM_001272608,32349,Dm.161,NM_132700,,Clic,CG10997|CLIC|DCLIC|DmCLIC|Dmel\CG10997|clic|l(1)G0053|l(1)G0472,Chloride intracellular channel,protein-coding,CG10997,FBgn0030529
577,Ty-N_peak_677,chr3L,20719400,20719400,+,51.89207,,promoter-TSS (NM_001104182),promoter-TSS (NM_001104182),-200,NM_001104182,40288,Dm.18595,NM_001104181,,cmpy,CG13253|Cmpy|Dmel\CG13253,crimpy,protein-coding,CG13253,FBgn0037015
580,Ty-N_peak_129,chr2L,14301011,14301011,+,51.55806,,promoter-TSS (NM_001201880),promoter-TSS (NM_001201880),12,NM_001201878,43946,Dm.3218,NM_057442,,wb,&agr1|2|2Lan|2]]|A1|BEST:CK02229|BG:DS03792.1|BG:DS03792.2|CG15288|CG32970|CG42677|CK02229|CT35236|DLAM|Dmel\CG42677|Dmel_CG15288|Dmel_CG32970|LM-A/alpha2|LanA1|alpha[[1|fus5|l(2)09437|l(2)34Fb|l(2)br1|l34Fb,wing blister,protein-coding,CG15288,FBgn0261563
581,Ty-N_peak_383,chr2R,21183344,21183344,+,51.55806,,promoter-TSS (NM_057425),promoter-TSS (NM_057425),22,NM_057425,37417,,NM_057425,,tud,CG9450|Dmel\CG9450|R5_2R:17070527..17070890|TUD|Tud|Tudor|tu,tudor,protein-coding,CG9450,FBgn0003891
584,Ty-N_peak_415,chr2R,24881413,24881413,+,51.09299,,promoter-TSS (NM_001103979),promoter-TSS (NM_001103979),-157,NM_001103979,37979,Dm.7939,NM_138131,,NKAIN,CG32836|CG34413|CG9047|Dmel\CG34413|Dmel_CG32836|Dmel_CG9047|anon-WO0118547.94|dNKAIN,"Na,K-ATPase Interacting",protein-coding,CG32836,FBgn0085442
585,Ty-N_peak_90,chr2L,9996698,9996698,+,51.08666,,promoter-TSS (NM_164884),promoter-TSS (NM_164884),-126,NM_164884,318996,Dm.5569,NM_164884,,CG31875,BcDNA:AT29184|CG5831|Desr|Dmel\CG31875,uncharacterized protein,protein-coding,CG31875,FBgn0051875
586,Ty-N_peak_128,chr2L,13931592,13931592,+,50.29787,,promoter-TSS (NM_001201872),promoter-TSS (NM_001201872),-230,NM_001201872,10178864,,NM_001201872,,CG42711,Dmel\CG42711,uncharacterized protein,protein-coding,CG42711,FBgn0261628
587,Ty-N_peak_751,chr3R,7530656,7530656,+,50.11567,,promoter-TSS (NM_079540),promoter-TSS (NM_079540),-97,NM_079540,40904,Dm.21648,NM_079540,,alphaTub84D,3t|ALPHA 84D|CG2512|D.m.ALPHA-84D|DTA4|Dmel\CG2512|T|Tub|Tub1A|aTub84D|alpha-Tub|alpha-Tub84D|alpha-tub|alpha-tub84D|alpha-tubulin|alpha3|alpha3t|alpha84D|alphaTUB|alphaTUB84D|alphaTub|alphaTub3|alphaTub84,alpha-Tubulin at 84D,protein-coding,CG2512,FBgn0003885
592,Ty-N_peak_523,chr3L,8191158,8191158,+,49.83773,,promoter-TSS (NM_139928),promoter-TSS (NM_139928),-112,NM_139928,38914,Dm.3405,NM_139928,,MED24,CG7999|Dmel\CG7999|Med24|Trap100|dTRAP100|l(3)psg5|med24|psg5,Mediator complex subunit 24,protein-coding,CG7999,FBgn0035851
593,Ty-N_peak_268,chr2R,8559031,8559031,+,49.83773,,promoter-TSS (NR_124472),promoter-TSS (NR_124472),-107,NR_124472,19835364,,NR_124472,,CR45308,Dmel\CR45308,ncRNA,ncRNA,CR45308,FBgn0266846
597,Ty-N_peak_379,chr2R,21030976,21030976,+,49.83773,,promoter-TSS (NR_124672),promoter-TSS (NR_124672),-935,NR_124672,19835769,,NR_124672,,CR45148,Dmel\CR45148|lincRNA.368,ncRNA,ncRNA,CR45148,FBgn0266641
598,Ty-N_peak_925,chr3R,28819701,28819701,+,49.83773,,promoter-TSS (NM_143379),promoter-TSS (NM_143379),-33,NM_143378,43400,Dm.4423,NM_143378,,CG1523,Dmel\CG1523,CG1523,protein-coding,CG1523,FBgn0039601
599,Ty-N_peak_787,chr3R,11209838,11209838,+,49.83773,,promoter-TSS (NM_001316502),promoter-TSS (NM_001316502),11,NM_141790,41340,Dm.20575,NM_141790,,SdhC,BcDNA:RH04289|C560|CG6666|Dmel\CG6666|RH04289p|SDH|sdhC,"Succinate dehydrogenase, subunit C",protein-coding,CG6666,FBgn0037873
601,Ty-N_peak_818,chr3R,15280821,15280821,+,49.65738,,promoter-TSS (NM_001170148),promoter-TSS (NM_001170148),-550,NM_169635,41852,Dm.19116,NM_079636,,Tm1,1305/10|2299|BcDNA:GH09289|BcDNA:LD37158|BcDNA:SD21996|CG4898|Dm Tm1|Dm TmH33|Dm TmH34|DmTm1|Dmel\CG4898|PmI|TM|TM1|TMII|Tm|TmH|TmH-33|TmH-34|TmH33|TmH34|TmII|Tmr33|Tmr34|TnH|TnH-33|TnH-34|cTM|cTm|cTmII|chr3R:11122272..11122408|l(3)02299|l(3)S130510|l(3)s2958|mTmII|region 3|tm1|tmII|tropomyosin,Tropomyosin 1,protein-coding,CG4898,FBgn0003721
602,Ty-N_peak_519,chr3L,8056667,8056667,+,49.37653,,promoter-TSS (NM_001169904),promoter-TSS (NM_001169904),-292,NM_001169904,38891,Dm.9548,NM_139912,,bip1,Bip1|CG7574|Dmel\CG7574|anon-WO0118547.246|bip-I,bip1,protein-coding,CG7574,FBgn0026263
604,Ty-N_peak_932,chr3R,30098949,30098949,+,49.0873,,promoter-TSS (NM_001276171),promoter-TSS (NM_001276171),-571,NM_001276171,43580,Dm.6953,NM_079845,,sima,7951|CG31031|CG45051|CG7951|DMU43090|Dmel\CG45051|Dmel_CG31031|Dmel_CG7951|HIF alpha|HIF-1|HIF-1alpha|HIF-alpha/sima|HIF1alpha|Hif-1A|Hif1alpha|SIMA|Sima|bHLHe56|dHIF-1alpha|dHIF-alpha|l(3)j11B7,similar,protein-coding,CG31031,FBgn0266411
606,Ty-N_peak_418,chr2R,25084796,25084796,+,48.98367,,promoter-TSS (NM_001169829),promoter-TSS (NM_001169829),-449,NM_079140,38006,Dm.19312,NM_079140,,gol,CG2679|Dmel\CG2679|Gol|anon-G1|g1|meso,goliath,protein-coding,CG2679,FBgn0004919
610,Ty-N_peak_916,chr3R,27165823,27165823,+,48.52773,,promoter-TSS (NM_001104475),promoter-TSS (NM_001104475),107,NM_170321,318579,Dm.6085,NM_170321,,spn-D,BcDNA:RE19845|CG31069|Dmel\CG31069|Spn-D|rad51C|spnD|spndD,spindle D,protein-coding,CG31069,FBgn0003482
612,Ty-N_peak_40,chr2L,5326802,5326802,+,48.25628,,promoter-TSS (NM_001103618),promoter-TSS (NM_001103618),-119,NM_001258955,33761,Dm.13484,NM_135077,,Ncoa6,CG14023|Dmel\CG14023|NCOA6|dNCOA6,Nuclear receptor coactivator 6,protein-coding,CG14023,FBgn0031698
614,Ty-N_peak_842,chr3R,17919247,17919247,+,48.13382,,promoter-TSS (NM_001014631),promoter-TSS (NM_001014631),-585,NM_001014631,45840,Dm.6154,NM_080105,,cpo,1824|3603|5339|6015|BcDNA:AT31405|CG12349|CG18434|CG18435|CG31243|CG42457|CG43738|CPO|Cpo|Dmel\CG43738|Dmel_CG31243|Dmel_CG42457|E(sda)N|Line N|ORE-17|cg18435|l(3)01432|l(3)6015|l(3)j4A1|l(3)j4D4|l(3)j7E2|l(3)j9B3|l(3)rJ553|l(3)s2336,couch potato,protein-coding,CG12349,FBgn0263995
615,Ty-N_peak_176,chr2L,18012209,18012209,+,48.13382,,promoter-TSS (NM_001169532),promoter-TSS (NM_001169532),-171,NM_001299095,35077,Dm.21796,NM_136017,,rdo,CG15151|CT35050|Dmel\CG15151|PFE|Rdo,reduced ocelli,protein-coding,CG15151,FBgn0243486
617,Ty-N_peak_1213,chrX,19349348,19349348,+,47.8889,,promoter-TSS (NM_001169324),promoter-TSS (NM_001169324),-901,NM_001169324,32928,,NM_167645,,nAChRalpha7,CG32538|CG8082|CG8109|CT24218|Da7|Dalpha7|Dalpha7 nAChR|Dalpha7-nAChR|Dmel\CG32538|gfA|gfa|jpl|nAChR|nAChR-Dalpha7|nAChR-gfa|nAcRalpha-18C|nAcRalpha-7|nAcRalpha18C|nAchRa7|nj507|nj520|nj522|nj54|nj75,nicotinic Acetylcholine Receptor alpha7,protein-coding,CG32538,FBgn0086778
618,Ty-N_peak_617,chr3L,16338894,16338894,+,47.39813,,promoter-TSS (NM_001043144),promoter-TSS (NM_001043144),-109,NM_001043144,39808,Dm.13277,NM_140621,,CG4998,Dmel\CG4998|SPH66,CG4998,protein-coding,CG4998,FBgn0036612
621,Ty-N_peak_735,chr3R,5716954,5716954,+,47.28839,,promoter-TSS (NM_079938),promoter-TSS (NM_079938),-149,NM_079938,44018,Dm.1871,NM_079938,,cas,CG2102|Cas|Dmel\CG2102|l(3)j1C2|l(3)neo33|ming,castor,protein-coding,CG2102,FBgn0004878
622,Ty-N_peak_671,chr3L,20320001,20320001,+,47.28839,,promoter-TSS (NM_140949),promoter-TSS (NM_140949),-951,NM_140949,40235,Dm.33739,NM_140949,,Spn77Bb,CG6266|CG6663|Dmel\CG6663|Spn77,Serpin 77Bb,protein-coding,CG6266,FBgn0036969
624,Ty-N_peak_888,chr3R,25184888,25184888,+,47.28839,,promoter-TSS (NM_143089),promoter-TSS (NM_143089),-123,NM_001276019,43023,Dm.4441,NM_143089,,dan,CG11849|Dan|Dmel\CG11849|fer,distal antenna,protein-coding,CG11849,FBgn0039286
627,Ty-N_peak_1043,chrX,499620,499620,+,46.86078,,promoter-TSS (NM_001144669),promoter-TSS (NM_001144669),-164,NR_123761,19834837,,NR_123761,,CR44892,Dmel\CR44892,ncRNA,ncRNA,CR44892,FBgn0266197
628,Ty-N_peak_485,chr3L,4840468,4840468,+,46.84285,,promoter-TSS (NM_139677),promoter-TSS (NM_139677),-360,NM_001259705,38583,Dm.24632,NM_139677,,CG13707,Dmel\CG13707,uncharacterized protein,protein-coding,CG13707,FBgn0035578
629,Ty-N_peak_103,chr2L,11517365,11517365,+,46.84285,,promoter-TSS (NM_001032082),promoter-TSS (NM_001032082),-26,NM_001032082,3772412,Dm.408,NM_001032082,,CG4970,CG32953|Dmel\CG4970|anon-WO0140519.184,CG4970,protein-coding,CG4970,FBgn0032364
631,Ty-N_peak_229,chr2L,21795868,21795868,+,46.67419,,promoter-TSS (NM_001169571),promoter-TSS (NM_001169571),-421,NM_001169571,35427,Dm.4930,NM_165400,,CG31612,CG11631|CG11632|Dmel\CG31612,uncharacterized protein,protein-coding,CG31612,FBgn0051612
635,Ty-N_peak_392,chr2R,21871945,21871945,+,46.4472,,promoter-TSS (NM_001103932),promoter-TSS (NM_001103932),-85,NM_001103932,5740472,Dm.32432,NM_137775,,Fili,CG13487|CG34368|CG4054|CT13464|CT32855|Dmel\CG34368|Dmel_CG13487|Dmel_CG4045|Dmel_CG4054,Fish-lips,protein-coding,CG13487,FBgn0085397
636,Ty-N_peak_820,chr3R,15320266,15320266,+,46.4472,,promoter-TSS (NM_143722),promoter-TSS (NM_143722),-112,NM_001275665,14462475,Dm.38950,NM_001275665,,CG44040,Dmel\CG44040,uncharacterized protein,protein-coding,CG44040,FBgn0264832
637,Ty-N_peak_382,chr2R,21171033,21171033,+,46.4472,,promoter-TSS (NM_166429),promoter-TSS (NM_166429),32,NM_166429,37414,,NM_166429,,Xpd,CG9433|DhR3|DhXPD|DmXPD|Dmel\CG9433|ERCC2|XPD|XPD/ERCC2|l(2)SH2 2137|l(2)SH2137|xpd,Xeroderma pigmentosum D,protein-coding,CG9433,FBgn0261850
643,Ty-N_peak_1062,chrX,1900117,1900117,+,45.61037,,promoter-TSS (NM_001272220),promoter-TSS (NM_001272220),56,NM_057318,31151,Dm.4782,NM_057317,,arm,ARM|Arm|CG11579|Dm Arm|Dmel\CG11579|EG:86E4.6|beta-Cat|beta-cat|beta-cat-arm|beta-catenin|beta-catenin/Arm|betacat|bgr;-Cat|l(1)2Bv|l(1)G0192|l(1)G0234|l(1)G0410|l(1)arm|t12687 ALR Dm,armadillo,protein-coding,CG11579,FBgn0000117
645,Ty-N_peak_194,chr2L,19577031,19577031,+,45.61037,,promoter-TSS (NM_136147),promoter-TSS (NM_136147),284,NM_134291,35253,Dm.4573,NM_057561,,spi,CG10334|CT29014|Dmel\CG10334|EP(2)2378|Spi|Spitz|anon-WO0118547.158|l(2)01068|l(2)37Fa|l(2)s3547|s-spi|sSpi,spitz,protein-coding,CG10334,FBgn0005672
646,Ty-N_peak_506,chr3L,7650927,7650927,+,45.49406,,promoter-TSS (NM_139888),promoter-TSS (NM_139888),-253,NM_139888,38858,Dm.33934,NM_139888,,PGRP-SD,CG7496|Dm PGRP-SD|Dmel\CG7496|pgrp-sd,PGRP-SD,protein-coding,CG7496,FBgn0035806
651,Ty-N_peak_38,chr2L,5108761,5108761,+,44.77789,,promoter-TSS (NM_001201763),promoter-TSS (NM_001201763),-53,NM_001201763,3771968,Dm.20325,NM_001169414,,Msp300,BBF-1|Bbbf1|BcDNA:AT10293|BcDNA:GH02446|BcDNA:GH18470|BcDNA:LP10936|CG14035|CG18251|CG18252|CG31649|CG31916|CG33549|CG33715|CG42768|Dmel\CG42768|Dmel_CG14035|Dmel_CG33715|FBgn0010070|MSP-300|MSP300|Msp-300|Spec25CD|dNesp1|jf22|l(2)25Ch|l(2)jf22|msp-300|msp300,Muscle-specific protein 300 kDa,protein-coding,CG14035,FBgn0261836
652,Ty-N_peak_272,chr2R,9091821,9091821,+,44.77789,,promoter-TSS (NM_001273889),promoter-TSS (NM_001273889),-36,NM_001273889,35918,Dm.20768,NM_176108,,CG8080,CG30346|Dmel\CG8080,CG8080,protein-coding,CG8080,FBgn0033373
653,Ty-N_peak_347,chr2R,17141161,17141161,+,44.77789,,promoter-TSS (NM_001259457),promoter-TSS (NM_001259457),-296,NM_001259457,12798326,Dm.37573,NM_001259457,,CG43107,Dmel\CG43107|MIP12466|lincRNA.331,uncharacterized protein,protein-coding,CG43107,FBgn0262567
655,Ty-N_peak_845,chr3R,18242127,18242127,+,44.36496,,promoter-TSS (NM_169799),promoter-TSS (NM_169799),32,NM_142440,42187,Dm.10147,NM_142440,,CG7156,Dmel\CG7156,CG7156,protein-coding,CG7156,FBgn0038588
657,Ty-N_peak_1168,chrX,12660473,12660473,+,44.28274,,promoter-TSS (NM_167333),promoter-TSS (NM_167333),-61,NM_167333,32222,Dm.4329,NM_078586,,Tis11,CG4070|DTIS11|Dmel\CG4070|TIS11|TIS11cc1|TIScc1|Ts11|anon-EST:Liang-1.28|clone 1.28|dTIS11|dTTP|dTis11|l(1)G0124|tis-11,Tis11 zinc finger protein,protein-coding,CG4070,FBgn0011837
658,Ty-N_peak_940,chr3R,30583711,30583711,+,44.24336,,promoter-TSS (NM_143554),promoter-TSS (NM_143554),-14,NM_143554,43635,Dm.13760,NM_143554,,Rpt6R,CG2241|DmCG2241|Dm_Rpt6b|Dmel\CG2241|Rpt6|Rpt6b|S8,Regulatory particle triple-A ATPase 6-related,protein-coding,CG2241,FBgn0039788
659,Ty-N_peak_802,chr3R,12370432,12370432,+,43.94966,,promoter-TSS (NR_133383),promoter-TSS (NR_133383),-75,NR_133383,26067336,,NR_133383,,CR46015,Dmel\CR46015,ncRNA,ncRNA,CR46015,FBgn0267679
660,Ty-N_peak_889,chr3R,25193993,25193993,+,43.94966,,promoter-TSS (NM_001043292),promoter-TSS (NM_001043292),-217,NM_001043292,4379864,Dm.16505,NM_001043292,,lobo,CG13661|CG13662|CG34110|Dmel\CG34110,lost boys,protein-coding,CG13661,FBgn0083946
669,Ty-N_peak_800,chr3R,12350959,12350959,+,43.12633,,promoter-TSS (NM_169460),promoter-TSS (NM_169460),-315,NM_141919,41495,Dm.1168,NM_141919,,CG10038,Dmel\CG10038,uncharacterized protein,protein-coding,CG10038,FBgn0038013
671,Ty-N_peak_33,chr2L,4453095,4453095,+,43.12633,,promoter-TSS (NM_134992),promoter-TSS (NM_134992),-57,NM_134992,33651,Dm.2115,NM_134992,,CG15439,Dmel\CG15439,uncharacterized protein,protein-coding,CG15439,FBgn0031606
