,Unnamed: 0,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID,Pause index,Pause index_log2
332,702,Ty-N_peak_767,chr3R,8938643,8938643,+,41.2352,,promoter-TSS (NM_001170088),promoter-TSS (NM_001170088),-81,NM_001316547,41067,Dm.1109,NM_141589,,skap,A-Sbeta|CG11963|CGI 1963|Dmel\CG11963|SkAP|Skap,skpA associated protein,protein-coding,CG11963,FBgn0037643,18.6313508,4.219660370445195
333,709,Ty-N_peak_308,chr2R,12670231,12670231,+,40.68278,,promoter-TSS (NM_165934),promoter-TSS (NM_165934),-12,NM_165934,36395,Dm.4052,NM_136964,,nemy,CG13147|CG8776|CytB561|Dmel\CG8776|Dmel_CG8772|Nemy|P153|anon-WO0140519.146,no extended memory,protein-coding,CG13147,FBgn0261673,59.99463860000001,5.906761675428624
335,712,Ty-N_peak_224,chr2L,21330834,21330834,+,40.68278,,promoter-TSS (NM_001273745),promoter-TSS (NM_001273745),-922,NM_001273745,35404,Dm.23895,NM_078887,,dimm,CG8667|DIMM|Dimm|Dmel\CG8667|Mistr|bHLHa16|c929|dim,dimmed,protein-coding,CG8667,FBgn0023091,26.6015913,4.733440644822523
336,717,Ty-N_peak_810,chr3R,14308677,14308677,+,40.2786,,promoter-TSS (NM_169575),promoter-TSS (NM_169575),-88,NM_169574,41740,Dm.2430,NM_079625,,su(Hw),CG8573|Dmel\CG8573|SU(HW)|SUHW|Su(HW)|Su(Hw)|Su(hw)|Su[Hw]|su(HW)|su(hw)|suHw,suppressor of Hairy wing,protein-coding,CG8573,FBgn0003567,8.06612688,3.0118760994838216
337,722,Ty-N_peak_401,chr2R,22403909,22403909,+,39.87753,,promoter-TSS (NM_001169781),promoter-TSS (NM_001169781),-268,NM_137824,37558,Dm.12569,NM_137824,,CG6044,BcDNA:RH44966|Dmel\CG6044,CG6044,protein-coding,CG6044,FBgn0034725,20.855075399999997,4.382326623082347
339,728,Ty-N_peak_1214,chrX,20449214,20449214,+,39.87753,,promoter-TSS (NM_134551),promoter-TSS (NM_134551),-117,NM_001298565,318059,,NM_134551,,CG32506,Dmel\CG32506,uncharacterized protein,protein-coding,CG32506,FBgn0052506,42.6601425,5.414816879686803
340,729,Ty-N_peak_1113,chrX,7445241,7445241,+,39.87753,,promoter-TSS (NR_123821),promoter-TSS (NR_123821),-146,NR_123821,19835128,,NR_123821,,CR45533,Dmel\CR45533,ncRNA,ncRNA,CR45533,FBgn0267089,1.40966715,0.4953545543032673
341,730,Ty-N_peak_1085,chrX,3811266,3811266,+,39.87753,,promoter-TSS (NM_130722),promoter-TSS (NM_130722),-432,NM_130722,31339,Dm.17730,NM_130722,,ec,CG2904|Dmel\CG2904|EG:EG0002.3|Ec|Q1W9Q0,echinus,protein-coding,CG2904,FBgn0000542,70.45842979999999,6.138700418925534
342,731,Ty-N_peak_627,chr3L,16765083,16765083,+,39.81595,,promoter-TSS (NM_057450),promoter-TSS (NM_057450),-989,NM_001202192,39873,Dm.3189,NM_057450,,Nrt,BP106|BcDNA:LD22004|CG9704|DAB|Dab|Dmel\CG9704|MabBP106|NRT|NRT BP106|NT|Neur|Nrt BP106|dab|l(3)73Be|neu|nrt,Neurotactin,protein-coding,CG9704,FBgn0004108,10.5376871,3.397486341793349
344,737,Ty-N_peak_1110,chrX,6998502,6998502,+,39.07671,,promoter-TSS (NM_001169213),promoter-TSS (NM_001169213),-170,NM_001272372,31646,Dm.3095,NM_132147,,Inx2,CG4590|D-inx-2|Dm-inx|Dm-inx2|Dmel\CG4590|FBpp0291074|INX-2|Ix2|inx-2|inx2|kropf|l(1)G0035|l(1)G0036|l(1)G0043|l(1)G0059|l(1)G0118|l(1)G0157|l(1)G0317|l(1)G0364|prp33,Innexin 2,protein-coding,CG4590,FBgn0027108,47.2024105,5.5607886309066465
345,738,Ty-N_peak_966,chr4,501684,501684,+,39.07671,,promoter-TSS (NM_001272130),promoter-TSS (NM_001272130),-126,NM_079884,43795,Dm.3906,NM_079884,,zfh2,CG1449|Dmel\CG1449|ZFH-2|ZFH2|Zfh-2|Zfh2|zfh-2,Zn finger homeodomain 2,protein-coding,CG1449,FBgn0004607,251.434848,7.974040805931915
346,741,Ty-N_peak_773,chr3R,10083375,10083375,+,39.07671,,promoter-TSS (NR_125127),promoter-TSS (NR_125127),-6,NR_125127,19835480,,NR_125127,,CR45054,CG45054|Dmel\CR45054,ncRNA,ncRNA,CR45054,FBgn0266414,5.32251554,2.4121082568801446
347,745,Ty-N_peak_78,chr2L,9495874,9495874,+,38.52647,,promoter-TSS (NM_001298852),promoter-TSS (NM_001298852),400,NM_205944,2768929,Dm.7689,NM_205943,,CG33298,CG13112|CG18419|DmCG33298|Dmel\CG33298,uncharacterized protein,protein-coding,CG33298,FBgn0032120,94.0079311,6.554710571634648
350,765,Ty-N_peak_742,chr3R,6646678,6646678,+,37.89217,,promoter-TSS (NM_001170061),promoter-TSS (NM_001170061),-211,NM_206437,40813,Dm.7380,NM_057608,,Taf1,BG:DS00004.13|CG17603|Dmel\CG17603|EfW1|SR3-5|TAF|TAF1|TAF200|TAF230|TAF250|TAF250/230|TAFII-250|TAFII250|TAF[II]250|TAF[[II]]|TAF[[II]]230|TAF[[II]]250|TAF[[II]]250/230|TFIID|TFIID TAF250|Taf1p|Taf200|Taf230|Taf250|Taf[[II]]250|cel|cell|d230|dTAF1|dTAF230|dTAF250|dTAFII250|dTAF[[II]]230|dTAF[[II]]250|dmTAF1|dmTAF[[II]]230|l(3)84Ab|p230,TBP-associated factor 1,protein-coding,CG17603,FBgn0010355,17.6467334,4.141329244741888
352,775,Ty-N_peak_1171,chrX,12785102,12785102,+,37.3656,,promoter-TSS (NM_167339),promoter-TSS (NM_167339),-144,NM_167338,326226,Dm.13947,NM_167338,,CG32647,BcDNA:RH40632|CG15723|CG18453|CG3794|CT35953|Dmel\CG32647,uncharacterized protein,protein-coding,CG32647,FBgn0052647,613.568729,9.261081146431978
353,777,Ty-N_peak_908,chr3R,26318043,26318043,+,37.2737,,promoter-TSS (NM_001038982),promoter-TSS (NM_001038982),-312,NM_001038982,43186,Dm.1342,NM_001038981,,CG33970,CG14559|CG31085|CG6162|CG6166|Dmel\CG33970,uncharacterized protein,protein-coding,CG33970,FBgn0053970,37.488989200000006,5.228395022252321
354,780,Ty-N_peak_54,chr2L,6921636,6921636,+,36.70373,,promoter-TSS (NM_001169427),promoter-TSS (NM_001169427),-3,NM_164720,33968,Dm.1997,NM_057521,,Hrb27C,10280|CG10377|Dmel\CG10377|HRB27C|HRP48|Hrb27-C|Hrb27c|Hrb48|Hrp48|Hrp48/Hrb27C|Ov5|RRM7|Rbp7|hnRNP27C|hnRNP48|hrb27|hrb27C|hrb27c|hrp48|l(2)02647|l(2)10280|l(2)2647|linha|p50|rrm7,Heterogeneous nuclear ribonucleoprotein at 27C,protein-coding,CG10377,FBgn0004838,4.12707071,2.0451181565645817
355,784,Ty-N_peak_44,chr2L,5618396,5618396,+,36.70373,,promoter-TSS (NM_135102),promoter-TSS (NM_135102),-450,NM_001201772,33793,,NM_135102,,DIP-eta,14010|CG14010|CT33567|Dmel\CG14010,Dpr-interacting protein eta,protein-coding,CG14010,FBgn0031725,311.670747,8.28387894166282
357,786,Ty-N_peak_689,chr3L,21706851,21706851,+,36.70373,,promoter-TSS (NM_206422),promoter-TSS (NM_206422),-486,NM_001275259,40412,Dm.9812,NM_168935,,CG32447,CG14571|CG7155|Dmel\CG32447|anon-WO0170980.76|anon-WO0170980.77,uncharacterized protein,protein-coding,CG32447,FBgn0052447,371.05868300000003,8.53550355715477
359,790,Ty-N_peak_517,chr3L,7868090,7868090,+,36.492129999999996,,promoter-TSS (NM_168240),promoter-TSS (NM_168240),-721,NM_001274618,45588,Dm.1594,NM_080093,,Pdp1,CG17888|DM1|DM32|Dmel\CG17888|PDP|PDP1|PDP1epsilon|Pdp-1|Pdp1 epsilon|Pdp1&e;gr|Pdp1e|Pdp1epsilon|anon-WO0140519.206|mel_pdp1|pdp|pdp1|pdp1epsilon,PAR-domain protein 1,protein-coding,CG17888,FBgn0016694,3.30153674,1.723137700568491
361,794,Ty-N_peak_449,chr3L,708224,708224,+,36.025009999999995,,promoter-TSS (NM_138211),promoter-TSS (NM_138211),-19,NM_138211,38087,Dm.5860,NM_138211,,CG13895,Dmel\CG13895,uncharacterized protein,protein-coding,CG13895,FBgn0035158,20.8376303,4.3811193154584345
362,798,Ty-N_peak_768,chr3R,9034465,9034465,+,35.97048,,promoter-TSS (NM_169257),promoter-TSS (NM_169257),-734,NM_169257,41085,Dm.1114,NM_057304,,neur,0328/12|0971/15|1293/09|1315/05|BEST:LD21494|CG11988|Dmel\CG11988|Neur|l(3)j6B12|l(3)j9B8|l(3)j9B9|l(3)j9C8|l(3)neo37|neu,neuralized,protein-coding,CG11988,FBgn0002932,6.87721858,2.7818251997839076
363,799,Ty-N_peak_341,chr2R,16337406,16337406,+,35.92252,,promoter-TSS (NM_001144207),promoter-TSS (NM_001144207),646,NM_001299559,44154,Dm.7717,NM_079972,,Hmgs,CG16796|CG4311|Dmel\CG4311|HMGS|Ov25|l(2)06214,HMG Coenzyme A synthase,protein-coding,CG16796,FBgn0010611,2.17966171,1.1241042418018452
364,805,Ty-N_peak_1065,chrX,2145459,2145459,+,35.92252,,promoter-TSS (NM_001272246),promoter-TSS (NM_001272246),96,NM_001272246,31185,Dm.27,NM_057512,,Pgd,6-PGD|6-Pgd|6-pgd|6PGD|6PGDH|6Pgd|6Pgdh|6pgdh|A7|CG3724|Dmel\CG3724|EG:87B1.4|N1|PGD|Pdg|l(1)2Dc|l(1)2De|l(1)A7|l(1)G0385|l(1)N1|l(1)N3[90]|l(1)Pgd|l(1)Pgd-A|l35|pgd,Phosphogluconate dehydrogenase,protein-coding,CG3724,FBgn0004654,8.830618300000001,3.1425144556670026
368,810,Ty-N_peak_1089,chrX,3940631,3940631,+,35.92252,,promoter-TSS (NM_166998),promoter-TSS (NM_166998),-216,NM_166997,318210,,NM_166997,,CG32786,Dmel\CG32786,uncharacterized protein,protein-coding,CG32786,FBgn0052786,1.99264962,0.9946880544179738
370,815,Ty-N_peak_927,chr3R,29131275,29131275,+,35.92252,,promoter-TSS (NM_001170298),promoter-TSS (NM_001170298),8,NM_170392,43442,Dm.16340,NM_143415,,Vha100-1,BcDNA:LD21248|CG1709|Dmel\CG1709|V0|V0a|V100|Vha100|v0a1|v100|vha|vha100-1,Vacuolar H[+] ATPase 100kD subunit 1,protein-coding,CG1709,FBgn0028671,7.72760257,2.9500208983877076
371,817,Ty-N_peak_933,chr3R,30134567,30134567,+,35.92252,,promoter-TSS (NM_176589),promoter-TSS (NM_176589),32,NM_176587,43582,Dm.7190,NM_176587,,Tpi,CG2171|Dmel\CG2171|ND14|TPI|TPIS|sgk|tpi|wstd,Triose phosphate isomerase,protein-coding,CG2171,FBgn0086355,1.34434617,0.4269046808522315
372,819,Ty-N_peak_533,chr3L,9211878,9211878,+,35.76579,,promoter-TSS (NM_140036),promoter-TSS (NM_140036),-2,NM_140036,39056,Dm.10774,NM_140036,,CG4476,DmNAT3|Dmel\CG4476|anon-WO0149848.7,CG4476,protein-coding,CG4476,FBgn0035969,39.204643299999994,5.292952628543387
373,823,Ty-N_peak_285,chr2R,10535328,10535328,+,35.54557,,promoter-TSS (NM_001032229),promoter-TSS (NM_001032229),-296,NM_170623,44548,Dm.11710,NM_080027,,lola,BEST:LD03274|BTB-IV|BcDNA:LD17006|BcDNA:RH31485|BtbIV|CG12052|CG18376|CG18378|CG18379|CG18380|CG18381|CG30012|CG30013|CG30014|Dmel\CG12052|LD03274|Lola|NEST:bs06a08|bs06a08.y1|btb|eyeful|fus7|l(2)00642|l(2)s3697|sw59,longitudinals lacking,protein-coding,CG12052,FBgn0283521,22.027985600000004,4.461265665379322
374,824,Ty-N_peak_1112,chrX,7066314,7066314,+,35.54557,,promoter-TSS (NM_001042797),promoter-TSS (NM_001042797),-262,NM_001042797,31650,Dm.26477,NM_132150,,CG12541,Dmel\CG12541,uncharacterized protein,protein-coding,CG12541,FBgn0029930,354.874394,8.471164670113426
375,825,Ty-N_peak_897,chr3R,25637447,25637447,+,35.26032,,promoter-TSS (NM_001104450),promoter-TSS (NM_001104450),-396,NM_001104450,43093,Dm.7493,NM_143152,,jigr1,CG17383|Dmel\CG17383|JIGR-1|JIGR1|bs29f05.y1,jing interacting gene regulatory 1,protein-coding,CG17383,FBgn0039350,6.93911962,2.794752636805263
376,828,Ty-N_peak_1197,chrX,17507798,17507798,+,35.146440000000005,,promoter-TSS (NM_001272715),promoter-TSS (NM_001272715),-709,NM_176751,32729,Dm.1952,NM_132990,,CG43658,CG12432|CG8557|Dmel\CG43658|Dmel_CG12432|Dmel_CG8557,uncharacterized protein,protein-coding,CG43658,FBgn0263706,6.85932101,2.778065774067579
379,837,Ty-N_peak_553,chr3L,11252145,11252145,+,34.811409999999995,,promoter-TSS (NM_206321),promoter-TSS (NM_206321),-162,NM_140199,39270,Dm.6574,NM_140199,,scyl,7590|CG7590|Dmel\CG7590|anon-WO0118547.215|scy,scylla,protein-coding,CG7590,FBgn0041094,18.543077399999998,4.212808787679776
381,843,Ty-N_peak_1205,chrX,18093171,18093171,+,34.37531,,promoter-TSS (NM_176755),promoter-TSS (NM_176755),26,NM_001298472,32790,Dm.202,NM_133039,,RhoGAP16F,CG7122|Dmel\CG7122,Rho GTPase activating protein at 16F,protein-coding,CG7122,FBgn0030893,7.52474084,2.9116418947912384
382,844,Ty-N_peak_1206,chrX,18226135,18226135,+,34.37531,,promoter-TSS (NM_001201741),promoter-TSS (NM_001201741),-59,NM_001272747,32803,Dm.28218,NM_001031899,,CG33639,CG16958|CG5936|Dmel\CG33639|anon-WO0170980.40|anon-WO0170980.41,uncharacterized protein,protein-coding,CG33639,FBgn0053639,26.8734441,4.748109323852025
383,846,Ty-N_peak_503,chr3L,6990573,6990573,+,34.37531,,promoter-TSS (NM_079226),promoter-TSS (NM_079226),-49,NM_079226,38766,Dm.5684,NM_079226,,bin,BIN|Bin|CG18647|DmFoxF|Dmbin|Dmel\CG18647|FOXF|FoxF|XIV|binI|l(3)65CEe,biniou,protein-coding,CG18647,FBgn0045759,15.4984166,3.954048924579451
384,847,Ty-N_peak_203,chr2L,19935152,19935152,+,34.37531,,promoter-TSS (NM_001273675),promoter-TSS (NM_001273675),-101,NM_136167,35277,Dm.17935,NM_136167,,sick,CG10662|CG13958|CG13959|CG13960|CG13961|CG13964|CG33316|CG34343|CG42589|CG43720|Dm_2L:104545|Dmel\CG43720|Dmel_CG10662|Dmel_CG13958|Dmel_CG13964|Dmel_CG33316|Dmel_CG34343|Dmel_CG42589,sickie,protein-coding,CG10662,FBgn0263873,1.31618033,0.39635716640868135
385,860,Ty-N_peak_905,chr3R,26259085,26259085,+,33.36407,,promoter-TSS (NM_170264),promoter-TSS (NM_170264),128,NM_170266,43183,Dm.2349,NM_079791,,Ald,ALD|BcDNA:LP07735|CG6058|Dmel\CG6058|FBA|T12|T4|T6|T7|ald|dALDOA,Aldolase,protein-coding,CG6058,FBgn0000064,24.6139245,4.6214027975958425
386,865,Ty-N_peak_1104,chrX,6283716,6283716,+,32.84898,,promoter-TSS (NM_132078),promoter-TSS (NM_132078),-141,NM_132078,31564,Dm.38624,NM_132078,,CG11700,CR11700|Dmel\CG11700|ESTS:143G11T|ESTS:199A6T|Ubi-p5E5|Ubiquitin|anon-sts41|poly-ub,uncharacterized protein,protein-coding,CG11700,FBgn0029856,33.4923923,5.065761523666576
387,866,Ty-N_peak_395,chr2R,22102610,22102610,+,32.84898,,promoter-TSS (NM_137795),promoter-TSS (NM_137795),-567,NM_137795,37520,,NM_137795,,CG6613,Dmel\CG6613,CG6613,protein-coding,CG6613,FBgn0034694,7.64328486,2.9341927996135606
388,870,Ty-N_peak_884,chr3R,24584967,24584967,+,32.84898,,promoter-TSS (NM_001043289),promoter-TSS (NM_001043289),193,NM_143015,42931,Dm.4647,NM_143015,,CG13625,Dmel\CG13625|anon-WO0118547.376,uncharacterized protein,protein-coding,CG13625,FBgn0039210,3.43142287,1.7788069267872555
395,893,Ty-N_peak_613,chr3L,15988153,15988153,+,31.79683,,promoter-TSS (NM_140567),promoter-TSS (NM_140567),-83,NM_001274981,39747,Dm.11460,NM_140567,,Hip14,3L1|CG 6017|CG6017|Dmel\CG6017|dHIP14|hip14|l(3)72Ad,Huntingtin-interacting protein 14,protein-coding,CG6017,FBgn0259824,13.3124854,3.734708038001677
397,899,Ty-N_peak_1200,chrX,17703186,17703186,+,31.5289,,promoter-TSS (NM_001038763),promoter-TSS (NM_001038763),-162,NM_133009,32751,Dm.11521,NM_133009,,CG8188,Dmel\CG8188|Ubc|Ube2S,CG8188,protein-coding,CG8188,FBgn0030863,2.8506986,1.5113155134002505
399,902,Ty-N_peak_684,chr3L,21433927,21433927,+,31.49942,,promoter-TSS (NM_168902),promoter-TSS (NM_168902),54,NM_079476,40370,Dm.1036,NM_079476,,Aef1,AEF-1|AEF1|CG5683|Dmel\CG5683,Adult enhancer factor 1,protein-coding,CG5683,FBgn0005694,4.79056415,2.260195561698845
400,904,Ty-N_peak_837,chr3R,17079077,17079077,+,31.3537,,promoter-TSS (NM_169744),promoter-TSS (NM_169744),868,NM_142337,42062,Dm.1228,NM_142337,,Keap1,CG3962|DmKeap1|Dmel\CG3962|KEAP1|Keap-1|Nrf-2|dKEAP1|dKeap1|dkeap-1|dkeap1|keap1,Keap1,protein-coding,CG3962,FBgn0038475,3.59190767,1.844750266074295
402,915,Ty-N_peak_540,chr3L,9697101,9697101,+,31.00127,,promoter-TSS (NM_140088),promoter-TSS (NM_140088),-401,NM_001274715,39132,Dm.12437,NM_140088,,CG6767,Dmel\CG6767,CG6767,protein-coding,CG6767,FBgn0036030,11.0514565,3.4661646135406357
407,925,Ty-N_peak_313,chr2R,13439462,13439462,+,30.598090000000003,,promoter-TSS (NM_001144182),promoter-TSS (NM_001144182),-411,NM_165984,36488,Dm.7647,NM_137029,,CG42321,CG17034|CG30061|DmCG42321|Dmel\CG42321|Dmel_CG17034|Dmel_CG30061|anon-WO0153538.54,uncharacterized protein,protein-coding,CG42321,FBgn0259221,10.0319757,3.3265338535693827
410,932,Ty-N_peak_319,chr2R,14141344,14141344,+,30.0749,,promoter-TSS (NM_137081),promoter-TSS (NM_137081),-442,NM_001259386,50225,Dm.19025,NM_137081,,Prosap,BcDNA:GH23107|CG13354|CG30483|CG8122|D-ProSAP|Dmel\CG30483|ProSAP|Shank|anon-WO0118547.149|prosap,prosap,protein-coding,CG13354,FBgn0040752,53.152521400000005,5.732066225495971
411,933,Ty-N_peak_758,chr3R,7886831,7886831,+,29.85844,,promoter-TSS (NM_001170070),promoter-TSS (NM_001170070),-98,NM_169198,40928,Dm.1092,NM_141487,,CG17816,Dmel\CG17816,uncharacterized protein,protein-coding,CG17816,FBgn0037525,172.120181,7.427272452299225
414,941,Ty-N_peak_795,chr3R,12094734,12094734,+,29.85844,,promoter-TSS (NM_169451),promoter-TSS (NM_169451),-142,NM_169451,41470,Dm.12991,NM_169451,,dpr17,CG14737|CG14738|CG31361|CT34531|Dmel\CG31361|Dpr-17|Dpr17,defective proboscis extension response 17,protein-coding,CG14737,FBgn0051361,197.175361,7.623335473823378
417,952,Ty-N_peak_811,chr3R,14316268,14316268,+,29.124409999999997,,promoter-TSS (NM_001260171),promoter-TSS (NM_001260171),-74,NM_001260171,41743,Dm.36781,NM_142097,,PR-Set7,CG3307|Dmel\CG3307|PR-SET7|PR/SET07|PRSET7|Pr-set-7|PrSet7|SET8|Set7|Set8|dPR-Set7|dSET8|dSet8|l(3)neo41|pr-Set7|pr-set7,PR/SET domain containing protein 7,protein-coding,CG3307,FBgn0011474,13.648412400000002,3.7706612397428105
418,953,Ty-N_peak_1119,chrX,8152328,8152328,+,29.124409999999997,,promoter-TSS (NM_132225),promoter-TSS (NM_132225),-53,NM_132224,31744,Dm.11050,NM_132224,,Gbeta5,CG10763|Dmel\CG10763|GNB5|G[[beta5]]|G[[beta]]|Gbeta|Gbeta 5|Gbetagamma,Gbeta5,protein-coding,CG10763,FBgn0030011,3.10231389,1.6333446646577592
419,954,Ty-N_peak_482,chr3L,4259213,4259213,+,29.124409999999997,,promoter-TSS (NM_139623),promoter-TSS (NM_139623),-61,NM_139622,38518,Dm.15698,NM_139622,,CG15011,Dmel\CG15011|cg15011,uncharacterized protein,protein-coding,CG15011,FBgn0035518,2.23266209,1.1587649179894601
420,956,Ty-N_peak_391,chr2R,21645715,21645715,+,29.124409999999997,,promoter-TSS (NM_166466),promoter-TSS (NM_166466),-462,NM_166466,37465,Dm.21261,NM_137751,,CG10082,Dmel\CG10082|anon-WO0172774.149|dmIP6K,uncharacterized protein,protein-coding,CG10082,FBgn0034644,26.9886441,4.7542805930206455
423,966,Ty-N_peak_1100,chrX,5764137,5764137,+,28.396040000000003,,promoter-TSS (NM_176688),promoter-TSS (NM_176688),66,NM_176688,44573,Dm.1442,NM_080030,,MAPk-Ak2,CG3086|DmMAPKAPK-2|Dmel\CG3086|MAPKAP|MAPKAPK-2|MK2|dMK2,MAP kinase activated protein-kinase-2,protein-coding,CG3086,FBgn0013987,20.9889844,4.391560455108115
424,969,Ty-N_peak_667,chr3L,19750031,19750031,+,28.396040000000003,,promoter-TSS (NM_001170001).2,promoter-TSS (NM_001170001).2,-287,NM_140888,40152,Dm.1001,NM_140888,,Trpml,CG8743|CT25240|DmTRPML|Dmel\CG8743|TRPML|l(3)76BDi|trpml,"Transient receptor potential cation channel, mucolipin",protein-coding,CG8743,FBgn0262516,14.0464508,3.8121337370711275
426,974,Ty-N_peak_913,chr3R,26876715,26876715,+,27.904159999999997,,promoter-TSS (NM_001014677),promoter-TSS (NM_001014677),85,NM_143254,43233,Dm.5470,NM_143254,,CG5500,Dmel\CG5500,CG5500,protein-coding,CG5500,FBgn0039461,68.811468,6.104577116907559
427,977,Ty-N_peak_915,chr3R,27160406,27160406,+,27.67274,,promoter-TSS (NM_143287),promoter-TSS (NM_143287),-752,NM_143287,43274,Dm.11099,NM_143287,,CG5909,Dmel\CG5909|SP8|c-SP8,CG5909,protein-coding,CG5909,FBgn0039495,1.50499002,0.5897539201117236
428,978,Ty-N_peak_302,chr2R,12528316,12528316,+,27.67274,,promoter-TSS (NM_165913),promoter-TSS (NM_165913),-737,NM_001299424,36377,,NM_078992,,fra,CG8581|CT24981|DCC|Dmel\CG8581|Fra,frazzled,protein-coding,CG8581,FBgn0011592,188.268402,7.556647075530524
429,980,Ty-N_peak_290,chr2R,11232937,11232937,+,27.67274,,promoter-TSS (NM_001144171),promoter-TSS (NM_001144171),-421,NM_001144170,36176,Dm.12548,NM_136798,,metro,CG13219|CG18338|CG30021|Dmel\CG30021|FBgn0050021|Metro|skf|skiff,menage a trois,protein-coding,CG13219,FBgn0050021,4.83665802,2.2740105344156043
430,981,Ty-N_peak_231,chr2L,21828509,21828509,+,27.67274,,promoter-TSS (NM_078891),promoter-TSS (NM_078891),-84,NM_078891,35430,Dm.6988,NM_078891,,tsh,CG1374|Dmel\CG1374|T shirt|Tsh|ae|ae[l]|l(2)04319|l(2)B4-2-12,teashirt,protein-coding,CG1374,FBgn0003866,69.0176433,6.108893306744665
431,984,Ty-N_peak_766,chr3R,8932052,8932052,+,27.67274,,promoter-TSS (NM_170646),promoter-TSS (NM_170646),-156,NM_170646,41062,Dm.7093,NM_057349,,pyd,CG11782|CG11962|CG12409|CG31349|CG43140|CG9729|CG9731|CG9763|CT36877|DZO-1|Dmel\CG43140|Dmel_CG31349|Dmel_CG9731|Pch|Pyd|Pyd/ZO-1|Tamou|ZO-1|ZO1|dzo-1|pyd(Z01)|tam|xvt,polychaetoid,protein-coding,CG11782,FBgn0262614,40.4086783,5.336593259048688
435,996,Ty-N_peak_299,chr2R,12044671,12044671,+,26.95545,,promoter-TSS (NM_001273980),promoter-TSS (NM_001273980),59,NM_001273980,36290,Dm.2965,NM_136877,,Drep1,CG8357|DREP-1|DREP-1/dICAD|Dmel\CG8357|Drep-1|ICAD|ICAD/DREP-1|Rep1|dICAD|drep1,DNA fragmentation factor-related protein 1,protein-coding,CG8357,FBgn0024732,92.8220845,6.5363961912755055
436,997,Ty-N_peak_843,chr3R,18049530,18049530,+,26.95545,,promoter-TSS (NM_169785),promoter-TSS (NM_169785),-164,NM_169785,42160,Dm.7690,NM_079670,,htl,CG7223|CT22273|CT39172|DFGF-R1|DFGF-R2|DFR-1|DFR1|DFR1/DFGF-R2|DPR3|DTRK(FR1)|Dfr-1|Dfr1|DmHD-38|Dmel\CG7223|Dtk1|EMS2|FGF-R2|FGFR|FGFR2|FR1|Fr1|HD-38|HTL/FGFR1|Htl|Tk1|dtk1|i100|i150|i79|j372,heartless,protein-coding,CG7223,FBgn0010389,8.86751552,3.1485299501796282
437,1000,Ty-N_peak_261,chr2R,7727155,7727155,+,26.95545,,promoter-TSS (NM_001259262),promoter-TSS (NM_001259262),355,NM_165553,59173,Dm.11989,NM_165552,,CG18812,CG12040|CG18813|Dmel\CG18812,uncharacterized protein,protein-coding,CG18812,FBgn0042135,69.0519438,6.1096101215524365
438,1001,Ty-N_peak_15,chr2L,1667762,1667762,+,26.95545,,promoter-TSS (NM_164428),promoter-TSS (NM_164428),-85,NM_134766,33343,Dm.3973,NM_134766,,chinmo,CG10871|CG17156|CG17649|CG31666|Chinmo|Dmel\CG31666|F|l(2)04111,Chronologically inappropriate morphogenesis,protein-coding,CG10871,FBgn0086758,34.87250039999999,5.124017905671115
439,1005,Ty-N_peak_1223,chrX,23096735,23096735,+,26.9362,,promoter-TSS (NM_001144067),promoter-TSS (NM_001144067),0,NM_001144067,5740457,Dm.5877,NM_001111000,,CG17162,CG40460|Dmel\CG17162|FBgn0058460|anon-20Ea,uncharacterized protein,protein-coding,CG17162,FBgn0039944,2.85833648,1.515175758789797
441,1015,Ty-N_peak_806,chr3R,12985972,12985972,+,26.341759999999997,,promoter-TSS (NM_001104294),promoter-TSS (NM_001104294),-69,NM_001104293,41592,Dm.11941,NM_001104293,,CG31342,CG18551|CG7472|Dmel\CG31342,uncharacterized protein,protein-coding,CG31342,FBgn0051342,9.57740257,3.2596344443251883
442,1017,Ty-N_peak_151,chr2L,16287849,16287849,+,26.243290000000002,,promoter-TSS (NM_135939),promoter-TSS (NM_135939),-119,NM_057257,34956,Dm.6530,NM_057257,,crp,35F(AT)[[17]]|AP-4|AP4|BG:DS02740.3|CG7664|Dmel\CG7664|MS:35F.AT17|bHLHe63|dAP-4|l(2)00232|l(2)35Fd|l(2)SH1614|l(2)SH2 1614|l(2)k00809|l(2)k03505,cropped,protein-coding,CG7664,FBgn0001994,88.34380379999999,6.4650570464102435
443,1018,Ty-N_peak_376,chr2R,20943863,20943863,+,26.243290000000002,,promoter-TSS (NM_079076),promoter-TSS (NM_079076),-158,NM_079076,37368,Dm.36749,NM_079076,,Act57B,Act57|Act57A|Act57b|Actin|ArpE|BEST:RE38067|C|CG10067|CG30294|Dmel\CG10067|M|T10|act 57A|act57A|act57B|act57b|actin|anon-EST:CL2c12|chr2R:16452771..16452966,Actin 57B,protein-coding,CG10067,FBgn0000044,4.69394544,2.2308010728157295
